CrimeId;OriginalCrimeTypeName;OffenseDate;CallTime;CallDateTime;Disposition;Address;City;State;AgencyId;Range;AddressType
160913890;Robbery;2016-03-31T00:00:00;23:15;2016-03-31T23:15:00;REP;Dolores St/29th St;San Francisco;CA;1;;Intersection
160913898;601;2016-03-31T00:00:00;23:18;2016-03-31T23:18:00;GOA;500 Block Of Stevenson St;San Francisco;CA;1;;Premise Address
160913901;Burglary;2016-03-31T00:00:00;23:18;2016-03-31T23:18:00;HAN;200 Block Of Harold Av;San Francisco;CA;1;;Premise Address
160913910;Rep;2016-03-31T00:00:00;23:21;2016-03-31T23:21:00;HAN;1600 Block Of Sacramento St;San Francisco;CA;1;;Premise Address
160913920;Homeless Complaint;2016-03-31T00:00:00;23:24;2016-03-31T23:24:00;ADV;Marin St/3rd St;San Francisco;CA;1;;Intersection
160913928;500e;2016-03-31T00:00:00;23:25;2016-03-31T23:25:00;GOA;2900 Block Of Buchanan St;San Francisco;CA;1;;Premise Address
160913930;Intoxicated Person;2016-03-31T00:00:00;23:29;2016-03-31T23:29:00;ARR;Larkin St/bush St;San Francisco;CA;1;;Intersection
160913931;Vandalism;2016-03-31T00:00:00;23:28;2016-03-31T23:28:00;UTL;1200 Block Of Ellis St;San Francisco;CA;1;;Premise Address
160913938;500e;2016-03-31T00:00:00;23:31;2016-03-31T23:31:00;CIT;300 Block Of Upper Tr;San Francisco;CA;1;;Premise Address
160913948;Poss;2016-03-31T00:00:00;23:30;2016-03-31T23:30:00;CIT;1800 Block Of Folsom St;San Francisco;CA;1;;Common Location
160913955;913;2016-03-31T00:00:00;23:37;2016-03-31T23:37:00;ND;100 Block Of De Montfort Av;San Francisco;CA;1;;Premise Address
160913956;Traffic Stop;2016-03-31T00:00:00;23:39;2016-03-31T23:39:00;CIT;6th St/bryant St;San Francisco;CA;1;;Intersection
160913961;Suspicious Person;2016-03-31T00:00:00;23:40;2016-03-31T23:40:00;CIT;Mission St/7th St;San Francisco;CA;1;;Intersection
160913966;Arrest Made;2016-03-31T00:00:00;23:41;2016-03-31T23:41:00;REP;100 Block Of 3rd St;San Francisco;CA;1;;Premise Address
160913967;909;2016-03-31T00:00:00;23:39;2016-03-31T23:39:00;HAN;600 Block Of Market St;San Francisco;CA;1;;Premise Address
160913968;Person W/gun;2016-03-31T00:00:00;23:35;2016-03-31T23:35:00;ND;4th St/king St;San Francisco;CA;1;;Intersection
160913969;Suspicious Vehicle;2016-03-31T00:00:00;23:40;2016-03-31T23:40:00;GOA;400 Block Of Faxon Av;San Francisco;CA;1;;Premise Address
160913972;Traffic Stop;2016-03-31T00:00:00;23:45;2016-03-31T23:45:00;CIT;900 Block Of Larkin St;San Francisco;CA;1;;Premise Address
160913976;Traffic Stop;2016-03-31T00:00:00;23:46;2016-03-31T23:46:00;CIT;Bayshore Bl/cortland Av;San Francisco;CA;1;;Intersection
160913984;Arrest Made;2016-03-31T00:00:00;23:49;2016-03-31T23:49:00;HAN;400 Block Of Ellis St;San Francisco;CA;1;;Premise Address
160913985;Fight No Weapon Dv;2016-03-31T00:00:00;23:48;2016-03-31T23:48:00;ADV;Valencia St/19th St;San Francisco;CA;1;;Intersection
160913988;Audible Alarm;2016-03-31T00:00:00;23:48;2016-03-31T23:48:00;PAS;300 Block Of 3rd St;San Francisco;CA;1;;Premise Address
160913990;Suspicious Person;2016-03-31T00:00:00;23:43;2016-03-31T23:43:00;ND;400 Block Of Golden Gate Av;San Francisco;CA;1;;Premise Address
160913991;Parking;2016-03-31T00:00:00;23:48;2016-03-31T23:48:00;HAN;0 Block Of Blake St;San Francisco;CA;1;;Premise Address
160913996;Audible Alarm;2016-03-31T00:00:00;23:51;2016-03-31T23:51:00;PAS;100 Block Of Grant Av;San Francisco;CA;1;;Premise Address
160913997;Pay;2016-03-31T00:00:00;23:51;2016-03-31T23:51:00;ABA;1600 Block Of Green St;San Francisco;CA;1;;Premise Address
160913999;Music;2016-03-31T00:00:00;23:52;2016-03-31T23:52:00;GOA;500 Block Of 14th St;San Francisco;CA;1;;Premise Address
160914000;Suspicious Person;2016-03-31T00:00:00;23:53;2016-03-31T23:53:00;CIT;0 Block Of United Nations Pz;San Francisco;CA;1;;Common Location
160914002;Suspicious Person;2016-03-31T00:00:00;23:54;2016-03-31T23:54:00;HAN;300 Block Of Golden Gate Av;San Francisco;CA;1;;Premise Address
160914008;Silent Holdup Alarm;2016-03-31T00:00:00;23:54;2016-03-31T23:54:00;PAS;100 Block Of Maiden Ln;San Francisco;CA;1;;Premise Address
160914009;Trespasser;2016-03-31T00:00:00;23:55;2016-03-31T23:55:00;NOM;300 Block Of Blythdale Av;San Francisco;CA;1;;Premise Address
160914010;Traffic Stop;2016-03-31T00:00:00;23:58;2016-03-31T23:58:00;CIT;Bayshore Bl/flower St;San Francisco;CA;1;;Intersection
160914012;Passing Call;2016-03-31T00:00:00;23:58;2016-03-31T23:58:00;HAN;900 Block Of La Playa;San Francisco;CA;1;;Premise Address
160920001;Traffic Stop;2016-04-01T00:00:00;0:00;2016-04-01T00:00:00;ADM;16th/deharo;;CA;1;;Geo-Override
160920003;Sleeper;2016-03-31T00:00:00;23:59;2016-03-31T23:59:00;ADV;200 Block Of 3rd St;San Francisco;CA;1;;Common Location
160920004;Passing Call;2016-04-01T00:00:00;0:00;2016-04-01T00:00:00;HAN;Duboce Triangle;;CA;1;;Geo-Override
160920005;Passing Call;2016-04-01T00:00:00;0:01;2016-04-01T00:01:00;HAN;100 Block Of Christmas Tree Point Rd;San Francisco;CA;1;;Common Location
160920006;Family;2016-03-31T00:00:00;23:59;2016-03-31T23:59:00;HAN;1500 Block Of Thomas Av;San Francisco;CA;1;;Premise Address
160920007;Arrest Made;2016-04-01T00:00:00;0:02;2016-04-01T00:02:00;HAN;100 Block Of 3rd St;San Francisco;CA;1;;Premise Address
160920008;Intoxicated Person;2016-04-01T00:00:00;0:00;2016-04-01T00:00:00;ADV;500 Block Of Jones St;San Francisco;CA;1;;Premise Address
160920009;Passing Call;2016-04-01T00:00:00;0:03;2016-04-01T00:03:00;HAN;400 Block Of Duboce Av;San Francisco;CA;1;;Premise Address
160920010;Thumping;2016-04-01T00:00:00;0:02;2016-04-01T00:02:00;HAN;1000 Block Of Oak St;San Francisco;CA;1;;Premise Address
160920014;Noise Nuisance;2016-04-01T00:00:00;0:03;2016-04-01T00:03:00;GOA;100 Block Of Patton St;San Francisco;CA;1;;Premise Address
160920015;Assault / Battery;2016-04-01T00:00:00;0:03;2016-04-01T00:03:00;NOM;100 Block Of Bartlett St;San Francisco;CA;1;;Premise Address
160920016;Homeless Complaint;2016-04-01T00:00:00;0:04;2016-04-01T00:04:00;ADV;0 Block Of Scott St;San Francisco;CA;1;;Premise Address
160920017;Traffic Stop;2016-04-01T00:00:00;0:05;2016-04-01T00:05:00;ARR;Battery St/clay St;San Francisco;CA;1;;Intersection
160920018;601;2016-04-01T00:00:00;0:04;2016-04-01T00:04:00;ADV;1200 Block Of 48th Av;San Francisco;CA;1;;Premise Address
160920020;Passing Call;2016-04-01T00:00:00;0:05;2016-04-01T00:05:00;HAN;9th Ave/irving St;;CA;1;;Geo-Override
160920021;Audible Alarm;2016-04-01T00:00:00;0:05;2016-04-01T00:05:00;PAS;1100 Block Of Howard St;San Francisco;CA;1;;Premise Address
160920022;Loud Music;2016-04-01T00:00:00;0:04;2016-04-01T00:04:00;ADV;400 Block Of Haight St;San Francisco;CA;1;;Premise Address
160920023;909;2016-04-01T00:00:00;0:04;2016-04-01T00:04:00;CAN;1200 Block Of 4th St;San Francisco;CA;1;;Premise Address
160920024;Homeless Complaint;2016-04-01T00:00:00;0:09;2016-04-01T00:09:00;HAN;600 Block Of Folsom St;San Francisco;CA;1;;Premise Address
160920025;Noise Nuisance;2016-04-01T00:00:00;0:08;2016-04-01T00:08:00;ADV;1500 Block Of Haight St;San Francisco;CA;1;;Premise Address
160920026;Suspicious Person;2016-04-01T00:00:00;0:10;2016-04-01T00:10:00;HAN;100 Block Of Hyde St;San Francisco;CA;1;;Premise Address
160920027;Fight No Weapon;2016-04-01T00:00:00;0:10;2016-04-01T00:10:00;ABA;Broadway/kearny St;San Francisco;CA;1;;Intersection
160920028;Trespasser;2016-04-01T00:00:00;0:09;2016-04-01T00:09:00;GOA;0 Block Of Lapidge St;San Francisco;CA;1;;Premise Address
160920029;Passing Call;2016-04-01T00:00:00;0:11;2016-04-01T00:11:00;Not recorded;Geary Bl/3rd Av;San Francisco;CA;1;;Intersection
160920030;916;2016-04-01T00:00:00;0:10;2016-04-01T00:10:00;GOA;1200 Block Of Hampshire St;San Francisco;CA;1;;Premise Address
160920031;Att;2016-04-01T00:00:00;0:10;2016-04-01T00:10:00;GOA;1000 Block Of Baker St;San Francisco;CA;1;;Premise Address
160920032;Passing Call;2016-04-01T00:00:00;0:13;2016-04-01T00:13:00;HAN;3rd Ave & Geary Blvd;;CA;1;;Geo-Override
160920033;Traffic Stop;2016-04-01T00:00:00;0:14;2016-04-01T00:14:00;ADV;South Van Ness Av/18th St;San Francisco;CA;1;;Intersection
160920034;Audible Alarm;2016-04-01T00:00:00;0:13;2016-04-01T00:13:00;PAS;100 Block Of Maiden Ln;San Francisco;CA;1;;Premise Address
160920039;Burglary;2016-04-01T00:00:00;0:10;2016-04-01T00:10:00;Not recorded;400 Block Of Mission St;San Francisco;CA;1;;Premise Address
160920042;594;2016-04-01T00:00:00;0:16;2016-04-01T00:16:00;GOA;Cabrillo St/27th Av;San Francisco;CA;1;;Intersection
160920043;Passing Call;2016-04-01T00:00:00;0:18;2016-04-01T00:18:00;Not recorded;Geary/3rd Ave;;CA;1;;Geo-Override
160920046;Fight No Weapon;2016-04-01T00:00:00;0:19;2016-04-01T00:19:00;HAN;3rd Av/geary Bl;San Francisco;CA;1;;Intersection
160920049;Passing Call;2016-04-01T00:00:00;0:20;2016-04-01T00:20:00;HAN;3rd Av/geary Bl;San Francisco;CA;1;;Intersection
160920051;Noise Nuisance;2016-04-01T00:00:00;0:21;2016-04-01T00:21:00;HAN;California St/taylor St;San Francisco;CA;1;;Intersection
160920053;Traffic Stop;2016-04-01T00:00:00;0:23;2016-04-01T00:23:00;ADV;Van Ness Av/pine St;San Francisco;CA;1;;Intersection
160920054;Traffic Stop;2016-04-01T00:00:00;0:25;2016-04-01T00:25:00;ADV;1000 Block Of Mission St;San Francisco;CA;1;;Premise Address
160920055;Traffic Stop;2016-04-01T00:00:00;0:25;2016-04-01T00:25:00;CIT;20th St/folsom St;San Francisco;CA;1;;Intersection
160920056;Traffic Stop;2016-04-01T00:00:00;0:26;2016-04-01T00:26:00;CIT;Junipero Serra Bl/holloway Av;San Francisco;CA;1;;Intersection
160920058;Fight No Weapon;2016-04-01T00:00:00;0:26;2016-04-01T00:26:00;ND;300 Block Of Powell St;San Francisco;CA;1;;Premise Address
160920060;Traffic Stop;2016-04-01T00:00:00;0:26;2016-04-01T00:26:00;ADV;Rio Verde St/geneva Av;Daly City;CA;1;;Intersection
160920061;Noise Nuisance;2016-04-01T00:00:00;0:26;2016-04-01T00:26:00;HAN;1100 Block Of Pine St;San Francisco;CA;1;;Premise Address
160920064;Threats / Harassment;2016-04-01T00:00:00;0:26;2016-04-01T00:26:00;ND;200 Block Of Eddy St;San Francisco;CA;1;;Premise Address
160920065;Boombox;2016-04-01T00:00:00;0:28;2016-04-01T00:28:00;ADV;Mission St/16th St;San Francisco;CA;1;;Intersection
160920066;Traffic Stop;2016-04-01T00:00:00;0:29;2016-04-01T00:29:00;ADM;Sagamore St/capitol Av;San Francisco;CA;1;;Intersection
160920067;Traf Violation Tow;2016-04-01T00:00:00;0:27;2016-04-01T00:27:00;HAN;1000 Block Of Harrison St;San Francisco;CA;1;;Premise Address
160920068;Burglary;2016-04-01T00:00:00;0:29;2016-04-01T00:29:00;REP;800 Block Of Van Ness Av;San Francisco;CA;1;;Premise Address
160920069;Dw;2016-04-01T00:00:00;0:29;2016-04-01T00:29:00;HAN;100 Block Of Mars St;San Francisco;CA;1;;Premise Address
160920070;Noise Nuisance;2016-04-01T00:00:00;0:30;2016-04-01T00:30:00;GOA;4100 Block Of 23rd St;San Francisco;CA;1;;Premise Address
160920071;Bar Check;2016-04-01T00:00:00;0:29;2016-04-01T00:29:00;NOM;4000 Block Of Geary Bl;San Francisco;CA;1;;Premise Address
160920072;Traffic Stop;2016-04-01T00:00:00;0:32;2016-04-01T00:32:00;CIT;Van Ness Av/clay St;San Francisco;CA;1;;Intersection
160920073;Suicide Attempt;2016-04-01T00:00:00;0:29;2016-04-01T00:29:00;REP;1900 Block Of 10th Av;San Francisco;CA;1;;Premise Address
160920074;Susp;2016-04-01T00:00:00;0:29;2016-04-01T00:29:00;HAN;200 Block Of Turk St;San Francisco;CA;1;;Premise Address
160920075;Threats / Harassment;2016-04-01T00:00:00;0:30;2016-04-01T00:30:00;CAN;0 Block Of Mcallister St;San Francisco;CA;1;;Premise Address
160920077;Burglary;2016-04-01T00:00:00;0:33;2016-04-01T00:33:00;NOM;2200 Block Of Francisco St;San Francisco;CA;1;;Premise Address
160920078;Passing Call;2016-04-01T00:00:00;0:35;2016-04-01T00:35:00;HAN;Twin Peaks;;CA;1;;Geo-Override
160920079;Traffic Stop;2016-04-01T00:00:00;0:36;2016-04-01T00:36:00;CIT;Shotwell St/24th St;San Francisco;CA;1;;Intersection
160920080;Crosswalk;2016-04-01T00:00:00;0:34;2016-04-01T00:34:00;ADV;0 Block Of Mccarthy Av;San Francisco;CA;1;;Premise Address
160920082;Fight No Weapon;2016-04-01T00:00:00;0:36;2016-04-01T00:36:00;ADV;Larkin St/ofarrell St;San Francisco;CA;1;;Intersection
160920083;Fight No Weapon;2016-04-01T00:00:00;0:37;2016-04-01T00:37:00;UTL;900 Block Of Bayshore Bl;San Francisco;CA;1;;Premise Address
160920084;Noise Nuisance;2016-04-01T00:00:00;0:38;2016-04-01T00:38:00;GOA;Hyde St/turk St;San Francisco;CA;1;;Intersection
160920085;Casing/917;2016-04-01T00:00:00;0:39;2016-04-01T00:39:00;GOA;Salinas Av/bayshore Bl;San Francisco;CA;1;;Intersection
160920086;Traffic Stop;2016-04-01T00:00:00;0:41;2016-04-01T00:41:00;ADM;North Point St/jones St;San Francisco;CA;1;;Intersection
160920088;Noise Nuisance;2016-04-01T00:00:00;0:45;2016-04-01T00:45:00;Not recorded;200 Block Of Hyde St #614;San Francisco;CA;1;;Common Location
160920089;Homeless Complaint;2016-04-01T00:00:00;0:46;2016-04-01T00:46:00;Not recorded;16th St/pond St;San Francisco;CA;1;;Intersection
160920090;601;2016-04-01T00:00:00;0:43;2016-04-01T00:43:00;HAN;1100 Block Of Le Conte Av;San Francisco;CA;1;;Premise Address
160920091;Fight No Weapon;2016-04-01T00:00:00;0:44;2016-04-01T00:44:00;ND;1000 Block Of Mission St;San Francisco;CA;1;;Premise Address
160920092;Passing Call;2016-04-01T00:00:00;0:46;2016-04-01T00:46:00;HAN;Duboce Triangle;;CA;1;;Geo-Override
160920093;Wireless-Drop;2016-04-01T00:00:00;0:45;2016-04-01T00:45:00;ADV;700 Block Of Beach St;San Francisco;CA;1;;Premise Address
160920094;Traffic Stop;2016-04-01T00:00:00;0:48;2016-04-01T00:48:00;CIT;Post St/mason St;San Francisco;CA;1;;Intersection
160920095;Passing Call;2016-04-01T00:00:00;0:49;2016-04-01T00:49:00;HAN;100 Block Of Scott St;San Francisco;CA;1;;Common Location
160920096;Uc Hastings/405;2016-04-01T00:00:00;0:47;2016-04-01T00:47:00;HAN;200 Block Of Mcallister St;San Francisco;CA;1;;Premise Address
160920097;Passing Call;2016-04-01T00:00:00;0:49;2016-04-01T00:49:00;Not recorded;2300 Block Of Polk St;San Francisco;CA;1;;Premise Address
160920103;Traf Violation Tow;2016-04-01T00:00:00;0:53;2016-04-01T00:53:00;HAN;700 Block Of 45th Av;San Francisco;CA;1;;Premise Address
160920104;Suspicious Vehicle;2016-04-01T00:00:00;0:54;2016-04-01T00:54:00;GOA;48th Av/anza St;San Francisco;CA;1;;Intersection
160920105;Traffic Stop;2016-04-01T00:00:00;0:56;2016-04-01T00:56:00;CIT;Columbus Av/grant Av;San Francisco;CA;1;;Intersection
160920106;Noise Nuisance;2016-04-01T00:00:00;0:59;2016-04-01T00:59:00;GOA;1700 Block Of Haight St;San Francisco;CA;1;;Premise Address
160920107;Bomb Threat;2016-04-01T00:00:00;0:57;2016-04-01T00:57:00;HAN;2500 Block Of Mission St;San Francisco;CA;1;;Premise Address
160920110;Suspicious Vehicle;2016-04-01T00:00:00;1:04;2016-04-01T01:04:00;ADV;Lincoln Wy/45th Av;San Francisco;CA;1;;Intersection
160920113;Homeless Complaint;2016-04-01T00:00:00;1:04;2016-04-01T01:04:00;ADV;15th St/utah St;San Francisco;CA;1;;Intersection
160920114;Encampment;2016-04-01T00:00:00;1:05;2016-04-01T01:05:00;HAN;16th St/folsom St;San Francisco;CA;1;;Intersection
160920116;Homeless Complaint;2016-04-01T00:00:00;1:06;2016-04-01T01:06:00;ADV;600 Block Of Berry St;San Francisco;CA;1;;Premise Address
160920117;Homeless Complaint;2016-04-01T00:00:00;1:07;2016-04-01T01:07:00;ADV;1000 Block Of Dolores St;San Francisco;CA;1;;Premise Address
160920118;Mentally Disturbed;2016-04-01T00:00:00;1:06;2016-04-01T01:06:00;NOM;200 Block Of Font Bl;San Francisco;CA;1;;Premise Address
160920120;Noise Nuisance;2016-04-01T00:00:00;1:06;2016-04-01T01:06:00;CAN;500 Block Of 33rd Av;San Francisco;CA;1;;Premise Address
160920121;Silent Alarm;2016-04-01T00:00:00;1:09;2016-04-01T01:09:00;PAS;600 Block Of Market St;San Francisco;CA;1;;Premise Address
160920122;Suspicious Person;2016-04-01T00:00:00;1:11;2016-04-01T01:11:00;ADV;Sacramento St/van Ness Av;San Francisco;CA;1;;Intersection
160920124;Traf Violation Cite;2016-04-01T00:00:00;1:11;2016-04-01T01:11:00;CIT;500 Block Of 36th Av;San Francisco;CA;1;;Premise Address
160920125;Person Breaking In;2016-04-01T00:00:00;1:12;2016-04-01T01:12:00;Not recorded;200 Block Of Font Bl;San Francisco;CA;1;;Premise Address
160920127;Suspicious Person;2016-04-01T00:00:00;1:15;2016-04-01T01:15:00;ADV;Leavenworth St/golden Gate Av;San Francisco;CA;1;;Intersection
160920128;Trespasser;2016-04-01T00:00:00;1:10;2016-04-01T01:10:00;UTL;1200 Block Of Michigan St;San Francisco;CA;1;;Premise Address
160920132;Passing Call;2016-04-01T00:00:00;1:19;2016-04-01T01:19:00;HAN;15 Marina;;CA;1;;Geo-Override
160920133;Suspicious Person;2016-04-01T00:00:00;1:17;2016-04-01T01:17:00;UTL;1000 Block Of Golden Gate Av;San Francisco;CA;1;;Premise Address
160920135;Traffic Stop;2016-04-01T00:00:00;1:20;2016-04-01T01:20:00;ARR;Clement St/31st Av;San Francisco;CA;1;;Intersection
160920136;Petty Theft;2016-04-01T00:00:00;1:19;2016-04-01T01:19:00;ND;Grant Av/union St;San Francisco;CA;1;;Intersection
160920141;Trespasser;2016-04-01T00:00:00;1:22;2016-04-01T01:22:00;HAN;200 Block Of Hyde St;San Francisco;CA;1;;Premise Address
160920144;Passing Call;2016-04-01T00:00:00;1:26;2016-04-01T01:26:00;HAN;1200 Block Of Market St;San Francisco;CA;1;;Premise Address
160920148;Suspicious Person;2016-04-01T00:00:00;1:30;2016-04-01T01:30:00;ADV;Folsom St/dore St;San Francisco;CA;1;;Intersection
160920152;Complaint Unkn;2016-04-01T00:00:00;1:25;2016-04-01T01:25:00;GOA;0 Block Of South Park;San Francisco;CA;1;;Premise Address
160920153;Report;2016-04-01T00:00:00;1:32;2016-04-01T01:32:00;REP;200 Block Of Garces Dr;San Francisco;CA;1;;Premise Address
